Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,high real,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),27435.26,0.0,0.03658799487845069,27467.3,,,,
(Periodo atual: 3),,1003.8940858759544,,27437.8,3.8940858759543744,27490.690164445336,27437.8,52.89016444533627
Compra (0),27410.39,0.0,0.036624582352748514,27441.99,,,,
(Periodo atual: 3),,1005.7055377191213,,27466.18,5.705537719121253,27465.06270480238,27459.85,5.212704802383087
Compra (0),27457.17,0.0,0.03662815715236207,27470.0,,,,
(Periodo atual: 3),,1008.0504723400154,,27531.34,8.050472340015403,27502.096927393864,27521.19,-19.09307260613423
Compra (0),27516.87,0.0,0.0366339075752444,27537.0,,,,
(Periodo atual: 3),,1009.3670949782697,,27575.01,9.367094978269733,27565.954782697263,27552.81,13.14478269726169
Compra (0),27541.63,0.0,0.03664877841210813,27570.23,,,,
(Periodo atual: 3),,1010.3027382911308,,27577.0,10.302738291130822,27597.812620852485,27567.16,30.652620852484688
Compra (0),27559.2,0.0,0.0366593637801943,27572.02,,,,
(Periodo atual: 3),,1008.6028435926431,,27526.81,8.602843592643126,27600.95128820317,27512.83,88.12128820316866
Compra (0),27527.87,0.0,0.036639334739398406,27532.0,,,,
(Periodo atual: 3),,1007.3461144110818,,27501.99,7.346114411081771,27575.410163232562,27493.57,81.84016323256219
Compra (0),27499.99,0.0,0.03663078111705065,27500.0,,,,
(Periodo atual: 3),,1006.5189913734587,,27519.4,6.518991373458675,27533.54208889577,27477.41,56.13208889577072
Compra (0),27491.66,0.0,0.03661179395400128,27497.39,,,,
(Periodo atual: 3),,1010.4983272583191,,27607.61,10.498327258319136,27532.691342653296,27600.35,-67.65865734670297
Compra (0),27638.52,0.0,0.0365612314718125,27651.0,,,,
(Periodo atual: 3),,1010.2296022070013,,27668.2,10.229602207001335,27692.484982804883,27631.17,61.314982804884494
Compra (0),27616.68,0.0,0.03658041452509865,27650.0,,,,
(Periodo atual: 3),,1012.1087381011557,,27682.0,12.108738101155723,27675.813638727563,27668.05,7.763638727563375
Compra (0),27690.6,0.0,0.036550625053308916,27705.85,,,,
(Periodo atual: 3),,1013.9187250537957,,27801.0,13.918725053795697,27743.1578249878,27740.12,3.0378249878012866
Compra (0),27670.5,0.0,0.03664258777592728,27740.13,,,,
(Periodo atual: 3),,1014.9993149673079,,27718.91,14.999314967307896,27759.73770255929,27699.99,59.74770255928888
Compra (0),27760.0,0.0,0.0365633758993987,27770.0,,,,
